Category No.,App Category,Scenario No.,Scenario
0,Common,1,search by keyword
0,Common,2,search by filter
1,Calendar,1,create single event
1,Calendar,2,create repeated event
1,Calendar,3,edit event
1,Calendar,4,delete event
1,Calendar,5,search event
1,Calendar,6,add notification
1,Calendar,7,change time zone
1,Calendar,8,change view to month
1,Calendar,9,change view to week
1,Calendar,10,change view to day
2,Map,1,navigate by name
2,Map,2,navigate by facility
3,Browser,1,view history
3,Browser,2,delete single history
3,Browser,3,clear history
3,Browser,4,open tab
3,Browser,5,close tab
3,Browser,6,switch tab
3,Browser,7,add bookmark
3,Browser,8,delete bookmark
3,Browser,9,edit bookmark name
3,Browser,10,view webpage by domain
3,Browser,11,view webpage by keyword
4,Music,1,play single song
4,Music,2,play next song
4,Music,3,play song of specific singer
5,Note,1,create note
5,Note,2,delete note
5,Note,3,switch to detail view
5,Note,4,pin a note to top
5,Note,5,create a group
5,Note,6,add a note into group
5,Note,7,switch to another group
6,Weather,1,switch to a new city
6,Weather,2,switch to a city in list
7,Reading,1,select book from bookstore
7,Reading,2,select book from bookcase
7,Reading,3,add a book into bookcase from bookstore
8,Clock,1,create alarm
8,Clock,2,edit alarm name
8,Clock,3,close a alarm
8,Clock,4,open a alarm
8,Clock,5,set a alarm repeat every Monday
9,Calculator,1,calculate a formula
9,Calculator,2,clear current result
9,Calculator,3,view history
